
Dafny program verifier finished with 5 verified, 0 errors
=== GACHA PULL SCENARIOS ===
Total scenarios: 182

Since5star:0 | Guaranteed:no | PullsLeft:90 | SoftPity:no | AtHardPity:no
Since5star:67 | Guaranteed:YES | PullsLeft:23 | SoftPity:no | AtHardPity:no
Since5star:68 | Guaranteed:YES | PullsLeft:22 | SoftPity:no | AtHardPity:no
Since5star:69 | Guaranteed:YES | PullsLeft:21 | SoftPity:no | AtHardPity:no
Since5star:70 | Guaranteed:YES | PullsLeft:20 | SoftPity:no | AtHardPity:no
Since5star:71 | Guaranteed:YES | PullsLeft:19 | SoftPity:no | AtHardPity:no
Since5star:72 | Guaranteed:YES | PullsLeft:18 | SoftPity:no | AtHardPity:no
Since5star:73 | Guaranteed:YES | PullsLeft:17 | SoftPity:no | AtHardPity:no
Since5star:74 | Guaranteed:YES | PullsLeft:16 | SoftPity:ACTIVE | AtHardPity:no
Since5star:75 | Guaranteed:YES | PullsLeft:15 | SoftPity:ACTIVE | AtHardPity:no
Since5star:76 | Guaranteed:YES | PullsLeft:14 | SoftPity:ACTIVE | AtHardPity:no
Since5star:77 | Guaranteed:YES | PullsLeft:13 | SoftPity:ACTIVE | AtHardPity:no
Since5star:78 | Guaranteed:YES | PullsLeft:12 | SoftPity:ACTIVE | AtHardPity:no
Since5star:79 | Guaranteed:YES | PullsLeft:11 | SoftPity:ACTIVE | AtHardPity:no
Since5star:80 | Guaranteed:YES | PullsLeft:10 | SoftPity:ACTIVE | AtHardPity:no
Since5star:81 | Guaranteed:YES | PullsLeft:9 | SoftPity:ACTIVE | AtHardPity:no
Since5star:82 | Guaranteed:YES | PullsLeft:8 | SoftPity:ACTIVE | AtHardPity:no
Since5star:83 | Guaranteed:YES | PullsLeft:7 | SoftPity:ACTIVE | AtHardPity:no
Since5star:84 | Guaranteed:YES | PullsLeft:6 | SoftPity:ACTIVE | AtHardPity:no
Since5star:85 | Guaranteed:YES | PullsLeft:5 | SoftPity:ACTIVE | AtHardPity:no
Since5star:86 | Guaranteed:YES | PullsLeft:4 | SoftPity:ACTIVE | AtHardPity:no
Since5star:87 | Guaranteed:YES | PullsLeft:3 | SoftPity:ACTIVE | AtHardPity:no
Since5star:88 | Guaranteed:YES | PullsLeft:2 | SoftPity:ACTIVE | AtHardPity:no
Since5star:89 | Guaranteed:YES | PullsLeft:1 | SoftPity:ACTIVE | AtHardPity:no
Since5star:90 | Guaranteed:YES | PullsLeft:0 | SoftPity:ACTIVE | AtHardPity:NOW
