
Dafny program verifier finished with 19 verified, 0 errors
╔══════════════════════════════════════════════════════════════════╗
║        TOP 100 HARDEST-TO-OBTAIN ITEMS                          ║
╠══════════════════════════════════════════════════════════════════╣
║  Score  = ref * 1000 + substat_priority * 10                    ║
║  Pulls  = ref * 160  (hard_pity=80 * 2 epitomized copies)       ║
║  Primos = pulls * 160                                            ║
║  Tier 1 (ranks   1-35): R5 ref=5  score 5010-5070               ║
║  Tier 2 (ranks  36-70): R5 ref=4  score 4010-4070               ║
║  Tier 3 (ranks 71-100): R5 ref=3  score 3020-3070  (no DEF%)    ║
╚══════════════════════════════════════════════════════════════════╝

[#1] Primordial Lethal Edge R5 | ATK:48 | CritDMG:70 | Score:5070 | WorstCase:800 pulls | ~128000 primos
[#26] Primordial Sturdy Edge R5 | ATK:48 | HP%:55 | Score:5020 | WorstCase:800 pulls | ~128000 primos
[#27] Primordial Sturdy Tome R5 | ATK:49 | HP%:55 | Score:5020 | WorstCase:800 pulls | ~128000 primos
[#28] Primordial Sturdy Thrust R5 | ATK:48 | HP%:55 | Score:5020 | WorstCase:800 pulls | ~128000 primos
[#29] Primordial Sturdy Impact R5 | ATK:46 | HP%:55 | Score:5020 | WorstCase:800 pulls | ~128000 primos
[#30] Primordial Sturdy Shot R5 | ATK:46 | HP%:55 | Score:5020 | WorstCase:800 pulls | ~128000 primos
[#31] Primordial Guarded Edge R5 | ATK:48 | DEF%:65 | Score:5010 | WorstCase:800 pulls | ~128000 primos
[#32] Primordial Guarded Tome R5 | ATK:49 | DEF%:65 | Score:5010 | WorstCase:800 pulls | ~128000 primos
[#33] Primordial Guarded Thrust R5 | ATK:48 | DEF%:65 | Score:5010 | WorstCase:800 pulls | ~128000 primos
[#34] Primordial Guarded Impact R5 | ATK:46 | DEF%:65 | Score:5010 | WorstCase:800 pulls | ~128000 primos
[#35] Primordial Guarded Shot R5 | ATK:46 | DEF%:65 | Score:5010 | WorstCase:800 pulls | ~128000 primos
[#36] Primordial Lethal Edge R4 | ATK:48 | CritDMG:56 | Score:4070 | WorstCase:640 pulls | ~102400 primos
[#37] Primordial Lethal Tome R4 | ATK:49 | CritDMG:56 | Score:4070 | WorstCase:640 pulls | ~102400 primos
[#38] Primordial Lethal Thrust R4 | ATK:48 | CritDMG:56 | Score:4070 | WorstCase:640 pulls | ~102400 primos
[#39] Primordial Lethal Impact R4 | ATK:46 | CritDMG:56 | Score:4070 | WorstCase:640 pulls | ~102400 primos
[#40] Primordial Lethal Shot R4 | ATK:46 | CritDMG:56 | Score:4070 | WorstCase:640 pulls | ~102400 primos
[#41] Primordial Keen Edge R4 | ATK:48 | CritRate:28 | Score:4060 | WorstCase:640 pulls | ~102400 primos
[#42] Primordial Keen Tome R4 | ATK:49 | CritRate:28 | Score:4060 | WorstCase:640 pulls | ~102400 primos
[#43] Primordial Keen Thrust R4 | ATK:48 | CritRate:28 | Score:4060 | WorstCase:640 pulls | ~102400 primos
[#44] Primordial Keen Impact R4 | ATK:46 | CritRate:28 | Score:4060 | WorstCase:640 pulls | ~102400 primos
[#45] Primordial Keen Shot R4 | ATK:46 | CritRate:28 | Score:4060 | WorstCase:640 pulls | ~102400 primos
[#46] Primordial Sharp Edge R4 | ATK:48 | ATK%:44 | Score:4050 | WorstCase:640 pulls | ~102400 primos
[#47] Primordial Sharp Tome R4 | ATK:49 | ATK%:44 | Score:4050 | WorstCase:640 pulls | ~102400 primos
[#48] Primordial Sharp Thrust R4 | ATK:48 | ATK%:44 | Score:4050 | WorstCase:640 pulls | ~102400 primos
[#49] Primordial Sharp Impact R4 | ATK:46 | ATK%:44 | Score:4050 | WorstCase:640 pulls | ~102400 primos
[#50] Primordial Sharp Shot R4 | ATK:46 | ATK%:44 | Score:4050 | WorstCase:640 pulls | ~102400 primos
[#51] Primordial Flowing Edge R4 | ATK:48 | ER:48 | Score:4040 | WorstCase:640 pulls | ~102400 primos
[#52] Primordial Flowing Tome R4 | ATK:49 | ER:48 | Score:4040 | WorstCase:640 pulls | ~102400 primos
[#53] Primordial Flowing Thrust R4 | ATK:48 | ER:48 | Score:4040 | WorstCase:640 pulls | ~102400 primos
[#54] Primordial Flowing Impact R4 | ATK:46 | ER:48 | Score:4040 | WorstCase:640 pulls | ~102400 primos
[#55] Primordial Flowing Shot R4 | ATK:46 | ER:48 | Score:4040 | WorstCase:640 pulls | ~102400 primos
[#56] Primordial Ancient Edge R4 | ATK:48 | EM:176 | Score:4030 | WorstCase:640 pulls | ~102400 primos
[#57] Primordial Ancient Tome R4 | ATK:49 | EM:176 | Score:4030 | WorstCase:640 pulls | ~102400 primos
[#58] Primordial Ancient Thrust R4 | ATK:48 | EM:176 | Score:4030 | WorstCase:640 pulls | ~102400 primos
[#59] Primordial Ancient Impact R4 | ATK:46 | EM:176 | Score:4030 | WorstCase:640 pulls | ~102400 primos
[#60] Primordial Ancient Shot R4 | ATK:46 | EM:176 | Score:4030 | WorstCase:640 pulls | ~102400 primos
[#61] Primordial Sturdy Edge R4 | ATK:48 | HP%:44 | Score:4020 | WorstCase:640 pulls | ~102400 primos
[#62] Primordial Sturdy Tome R4 | ATK:49 | HP%:44 | Score:4020 | WorstCase:640 pulls | ~102400 primos
[#63] Primordial Sturdy Thrust R4 | ATK:48 | HP%:44 | Score:4020 | WorstCase:640 pulls | ~102400 primos
[#64] Primordial Sturdy Impact R4 | ATK:46 | HP%:44 | Score:4020 | WorstCase:640 pulls | ~102400 primos
[#65] Primordial Sturdy Shot R4 | ATK:46 | HP%:44 | Score:4020 | WorstCase:640 pulls | ~102400 primos
[#66] Primordial Guarded Edge R4 | ATK:48 | DEF%:52 | Score:4010 | WorstCase:640 pulls | ~102400 primos
[#67] Primordial Guarded Tome R4 | ATK:49 | DEF%:52 | Score:4010 | WorstCase:640 pulls | ~102400 primos
[#68] Primordial Guarded Thrust R4 | ATK:48 | DEF%:52 | Score:4010 | WorstCase:640 pulls | ~102400 primos
[#69] Primordial Guarded Impact R4 | ATK:46 | DEF%:52 | Score:4010 | WorstCase:640 pulls | ~102400 primos
[#70] Primordial Guarded Shot R4 | ATK:46 | DEF%:52 | Score:4010 | WorstCase:640 pulls | ~102400 primos
[#71] Primordial Lethal Edge R3 | ATK:48 | CritDMG:42 | Score:3070 | WorstCase:480 pulls | ~76800 primos
[#72] Primordial Lethal Tome R3 | ATK:49 | CritDMG:42 | Score:3070 | WorstCase:480 pulls | ~76800 primos
[#73] Primordial Lethal Thrust R3 | ATK:48 | CritDMG:42 | Score:3070 | WorstCase:480 pulls | ~76800 primos
[#74] Primordial Lethal Impact R3 | ATK:46 | CritDMG:42 | Score:3070 | WorstCase:480 pulls | ~76800 primos
[#75] Primordial Lethal Shot R3 | ATK:46 | CritDMG:42 | Score:3070 | WorstCase:480 pulls | ~76800 primos
[#76] Primordial Keen Edge R3 | ATK:48 | CritRate:21 | Score:3060 | WorstCase:480 pulls | ~76800 primos
[#77] Primordial Keen Tome R3 | ATK:49 | CritRate:21 | Score:3060 | WorstCase:480 pulls | ~76800 primos
[#78] Primordial Keen Thrust R3 | ATK:48 | CritRate:21 | Score:3060 | WorstCase:480 pulls | ~76800 primos
[#79] Primordial Keen Impact R3 | ATK:46 | CritRate:21 | Score:3060 | WorstCase:480 pulls | ~76800 primos
[#80] Primordial Keen Shot R3 | ATK:46 | CritRate:21 | Score:3060 | WorstCase:480 pulls | ~76800 primos
[#81] Primordial Sharp Edge R3 | ATK:48 | ATK%:33 | Score:3050 | WorstCase:480 pulls | ~76800 primos
[#82] Primordial Sharp Tome R3 | ATK:49 | ATK%:33 | Score:3050 | WorstCase:480 pulls | ~76800 primos
[#83] Primordial Sharp Thrust R3 | ATK:48 | ATK%:33 | Score:3050 | WorstCase:480 pulls | ~76800 primos
[#84] Primordial Sharp Impact R3 | ATK:46 | ATK%:33 | Score:3050 | WorstCase:480 pulls | ~76800 primos
[#85] Primordial Sharp Shot R3 | ATK:46 | ATK%:33 | Score:3050 | WorstCase:480 pulls | ~76800 primos
[#86] Primordial Flowing Edge R3 | ATK:48 | ER:36 | Score:3040 | WorstCase:480 pulls | ~76800 primos
[#87] Primordial Flowing Tome R3 | ATK:49 | ER:36 | Score:3040 | WorstCase:480 pulls | ~76800 primos
[#88] Primordial Flowing Thrust R3 | ATK:48 | ER:36 | Score:3040 | WorstCase:480 pulls | ~76800 primos
[#89] Primordial Flowing Impact R3 | ATK:46 | ER:36 | Score:3040 | WorstCase:480 pulls | ~76800 primos
[#90] Primordial Flowing Shot R3 | ATK:46 | ER:36 | Score:3040 | WorstCase:480 pulls | ~76800 primos
[#91] Primordial Ancient Edge R3 | ATK:48 | EM:132 | Score:3030 | WorstCase:480 pulls | ~76800 primos
[#92] Primordial Ancient Tome R3 | ATK:49 | EM:132 | Score:3030 | WorstCase:480 pulls | ~76800 primos
[#93] Primordial Ancient Thrust R3 | ATK:48 | EM:132 | Score:3030 | WorstCase:480 pulls | ~76800 primos
[#94] Primordial Ancient Impact R3 | ATK:46 | EM:132 | Score:3030 | WorstCase:480 pulls | ~76800 primos
[#95] Primordial Ancient Shot R3 | ATK:46 | EM:132 | Score:3030 | WorstCase:480 pulls | ~76800 primos
[#96] Primordial Sturdy Edge R3 | ATK:48 | HP%:33 | Score:3020 | WorstCase:480 pulls | ~76800 primos
[#97] Primordial Sturdy Tome R3 | ATK:49 | HP%:33 | Score:3020 | WorstCase:480 pulls | ~76800 primos
[#98] Primordial Sturdy Thrust R3 | ATK:48 | HP%:33 | Score:3020 | WorstCase:480 pulls | ~76800 primos
[#99] Primordial Sturdy Impact R3 | ATK:46 | HP%:33 | Score:3020 | WorstCase:480 pulls | ~76800 primos
[#100] Primordial Sturdy Shot R3 | ATK:46 | HP%:33 | Score:3020 | WorstCase:480 pulls | ~76800 primos
