
Dafny program verifier finished with 15 verified, 0 errors
=== GACHA PULL ECONOMY ===
PrimosPerPull:160 | Expected5star:63 pulls | ExpectedFeatured:94 pulls | WorstCase:180 pulls
F2P monthly: 2600 primos = 16 pulls

Pulls:1 | Primos:160 | Exp5star:0 | Exp4star:0 | HardPity:no
Pulls:67 | Primos:10720 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:68 | Primos:10880 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:69 | Primos:11040 | Exp5star:1 | Exp4star:5 | HardPity:no
Pulls:70 | Primos:11200 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:71 | Primos:11360 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:72 | Primos:11520 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:73 | Primos:11680 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:74 | Primos:11840 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:75 | Primos:12000 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:76 | Primos:12160 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:77 | Primos:12320 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:78 | Primos:12480 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:79 | Primos:12640 | Exp5star:1 | Exp4star:6 | HardPity:no
Pulls:80 | Primos:12800 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:81 | Primos:12960 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:82 | Primos:13120 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:83 | Primos:13280 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:84 | Primos:13440 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:85 | Primos:13600 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:86 | Primos:13760 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:87 | Primos:13920 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:88 | Primos:14080 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:89 | Primos:14240 | Exp5star:1 | Exp4star:7 | HardPity:no
Pulls:90 | Primos:14400 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:91 | Primos:14560 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:92 | Primos:14720 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:93 | Primos:14880 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:94 | Primos:15040 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:95 | Primos:15200 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:96 | Primos:15360 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:97 | Primos:15520 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:98 | Primos:15680 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:99 | Primos:15840 | Exp5star:1 | Exp4star:8 | HardPity:YES
Pulls:100 | Primos:16000 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:101 | Primos:16160 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:102 | Primos:16320 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:103 | Primos:16480 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:104 | Primos:16640 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:105 | Primos:16800 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:106 | Primos:16960 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:107 | Primos:17120 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:108 | Primos:17280 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:109 | Primos:17440 | Exp5star:1 | Exp4star:9 | HardPity:YES
Pulls:110 | Primos:17600 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:111 | Primos:17760 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:112 | Primos:17920 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:113 | Primos:18080 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:114 | Primos:18240 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:115 | Primos:18400 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:116 | Primos:18560 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:117 | Primos:18720 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:118 | Primos:18880 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:119 | Primos:19040 | Exp5star:1 | Exp4star:10 | HardPity:YES
Pulls:120 | Primos:19200 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:121 | Primos:19360 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:122 | Primos:19520 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:123 | Primos:19680 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:124 | Primos:19840 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:125 | Primos:20000 | Exp5star:1 | Exp4star:11 | HardPity:YES
Pulls:126 | Primos:20160 | Exp5star:2 | Exp4star:10 | HardPity:YES
Pulls:127 | Primos:20320 | Exp5star:2 | Exp4star:10 | HardPity:YES
Pulls:128 | Primos:20480 | Exp5star:2 | Exp4star:10 | HardPity:YES
Pulls:129 | Primos:20640 | Exp5star:2 | Exp4star:10 | HardPity:YES
Pulls:130 | Primos:20800 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:131 | Primos:20960 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:132 | Primos:21120 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:133 | Primos:21280 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:134 | Primos:21440 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:135 | Primos:21600 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:136 | Primos:21760 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:137 | Primos:21920 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:138 | Primos:22080 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:139 | Primos:22240 | Exp5star:2 | Exp4star:11 | HardPity:YES
Pulls:140 | Primos:22400 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:141 | Primos:22560 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:142 | Primos:22720 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:143 | Primos:22880 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:144 | Primos:23040 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:145 | Primos:23200 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:146 | Primos:23360 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:147 | Primos:23520 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:148 | Primos:23680 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:149 | Primos:23840 | Exp5star:2 | Exp4star:12 | HardPity:YES
Pulls:150 | Primos:24000 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:151 | Primos:24160 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:152 | Primos:24320 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:153 | Primos:24480 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:154 | Primos:24640 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:155 | Primos:24800 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:156 | Primos:24960 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:157 | Primos:25120 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:158 | Primos:25280 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:159 | Primos:25440 | Exp5star:2 | Exp4star:13 | HardPity:YES
Pulls:160 | Primos:25600 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:161 | Primos:25760 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:162 | Primos:25920 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:163 | Primos:26080 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:164 | Primos:26240 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:165 | Primos:26400 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:166 | Primos:26560 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:167 | Primos:26720 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:168 | Primos:26880 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:169 | Primos:27040 | Exp5star:2 | Exp4star:14 | HardPity:YES
Pulls:170 | Primos:27200 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:171 | Primos:27360 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:172 | Primos:27520 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:173 | Primos:27680 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:174 | Primos:27840 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:175 | Primos:28000 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:176 | Primos:28160 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:177 | Primos:28320 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:178 | Primos:28480 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:179 | Primos:28640 | Exp5star:2 | Exp4star:15 | HardPity:YES
Pulls:180 | Primos:28800 | Exp5star:2 | Exp4star:16 | HardPity:YES
