
Dafny program verifier finished with 12 verified, 0 errors
=== NPC DIRECTORY ===
Total entries: 576

Smith Human | Wealth: 800g | Influence: 35
Master Elf | Wealth: 1200g | Influence: 65
Master Elf | Wealth: 1200g | Influence: 60
Master Elf | Wealth: 1200g | Influence: 45
Master Elf | Wealth: 1200g | Influence: 55
Master Elf | Wealth: 1200g | Influence: 50
Master Elf | Wealth: 1200g | Influence: 40
Master Elf | Wealth: 1200g | Influence: 60
Master Elf | Wealth: 1200g | Influence: 50
Master Elf | Wealth: 1200g | Influence: 30
Lord Elf | Wealth: 12000g | Influence: 95
Lord Elf | Wealth: 12000g | Influence: 90
Lord Elf | Wealth: 12000g | Influence: 75
Lord Elf | Wealth: 12000g | Influence: 85
Lord Elf | Wealth: 12000g | Influence: 80
Lord Elf | Wealth: 12000g | Influence: 70
Lord Elf | Wealth: 12000g | Influence: 90
Lord Elf | Wealth: 12000g | Influence: 80
Lord Elf | Wealth: 12000g | Influence: 60
Father Elf | Wealth: 1800g | Influence: 75
Father Elf | Wealth: 1800g | Influence: 70
Father Elf | Wealth: 1800g | Influence: 55
Father Elf | Wealth: 1800g | Influence: 65
Father Elf | Wealth: 1800g | Influence: 60
Father Elf | Wealth: 1800g | Influence: 50
Father Elf | Wealth: 1800g | Influence: 70
Father Elf | Wealth: 1800g | Influence: 60
Father Elf | Wealth: 1800g | Influence: 40
Shadow Elf | Wealth: 360g | Influence: 25
Shadow Elf | Wealth: 360g | Influence: 20
Shadow Elf | Wealth: 360g | Influence: 5
Shadow Elf | Wealth: 360g | Influence: 15
Shadow Elf | Wealth: 360g | Influence: 10
Shadow Elf | Wealth: 360g | Influence: 0
Shadow Elf | Wealth: 360g | Influence: 20
Shadow Elf | Wealth: 360g | Influence: 10
Shadow Elf | Wealth: 360g | Influence: 0

Smith Dwarf | Wealth: 1200g | Influence: 35
Smith Dwarf | Wealth: 1200g | Influence: 30
Smith Dwarf | Wealth: 1200g | Influence: 15
Smith Dwarf | Wealth: 1200g | Influence: 25
Smith Dwarf | Wealth: 1200g | Influence: 20
Smith Dwarf | Wealth: 1200g | Influence: 10
Smith Dwarf | Wealth: 1200g | Influence: 30
Smith Dwarf | Wealth: 1200g | Influence: 20
Smith Dwarf | Wealth: 1200g | Influence: 0
Trader Dwarf | Wealth: 4500g | Influence: 55
Trader Dwarf | Wealth: 4500g | Influence: 50
Trader Dwarf | Wealth: 4500g | Influence: 35
Trader Dwarf | Wealth: 4500g | Influence: 45
Trader Dwarf | Wealth: 4500g | Influence: 40
Trader Dwarf | Wealth: 4500g | Influence: 30
Trader Dwarf | Wealth: 4500g | Influence: 50
Trader Dwarf | Wealth: 4500g | Influence: 40
Trader Dwarf | Wealth: 4500g | Influence: 20
Captain Dwarf | Wealth: 750g | Influence: 45
Captain Dwarf | Wealth: 750g | Influence: 40
Captain Dwarf | Wealth: 750g | Influence: 25
Captain Dwarf | Wealth: 750g | Influence: 35
Captain Dwarf | Wealth: 750g | Influence: 30
Captain Dwarf | Wealth: 750g | Influence: 20
Captain Dwarf | Wealth: 750g | Influence: 40
Captain Dwarf | Wealth: 750g | Influence: 30
Captain Dwarf | Wealth: 750g | Influence: 10
Citizen Dwarf | Wealth: 150g | Influence: 10
Citizen Dwarf | Wealth: 150g | Influence: 10
Citizen Dwarf | Wealth: 150g | Influence: 0
Citizen Dwarf | Wealth: 150g | Influence: 10
Citizen Dwarf | Wealth: 150g | Influence: 5
Citizen Dwarf | Wealth: 150g | Influence: 0
Citizen Dwarf | Wealth: 150g | Influence: 10
Citizen Dwarf | Wealth: 150g | Influence: 5
Citizen Dwarf | Wealth: 150g | Influence: 0
Master Dwarf | Wealth: 1500g | Influence: 65
Master Dwarf | Wealth: 1500g | Influence: 60
Master Dwarf | Wealth: 1500g | Influence: 45
Master Dwarf | Wealth: 1500g | Influence: 55
Master Dwarf | Wealth: 1500g | Influence: 50
Master Dwarf | Wealth: 1500g | Influence: 40
Master Dwarf | Wealth: 1500g | Influence: 60
Master Dwarf | Wealth: 1500g | Influence: 50
Master Dwarf | Wealth: 1500g | Influence: 30
Lord Dwarf | Wealth: 15000g | Influence: 95
Lord Dwarf | Wealth: 15000g | Influence: 90
Lord Dwarf | Wealth: 15000g | Influence: 75
Lord Dwarf | Wealth: 15000g | Influence: 85
Lord Dwarf | Wealth: 15000g | Influence: 80
Lord Dwarf | Wealth: 15000g | Influence: 70
Lord Dwarf | Wealth: 15000g | Influence: 90
Lord Dwarf | Wealth: 15000g | Influence: 80
Lord Dwarf | Wealth: 15000g | Influence: 60
Father Dwarf | Wealth: 2250g | Influence: 75
Father Dwarf | Wealth: 2250g | Influence: 70
Father Dwarf | Wealth: 2250g | Influence: 55
Father Dwarf | Wealth: 2250g | Influence: 65
Father Dwarf | Wealth: 2250g | Influence: 60
Father Dwarf | Wealth: 2250g | Influence: 50
Father Dwarf | Wealth: 2250g | Influence: 70
Father Dwarf | Wealth: 2250g | Influence: 60
Father Dwarf | Wealth: 2250g | Influence: 40
Shadow Dwarf | Wealth: 450g | Influence: 25
Shadow Dwarf | Wealth: 450g | Influence: 20
Shadow Dwarf | Wealth: 450g | Influence: 5
Shadow Dwarf | Wealth: 450g | Influence: 15
Shadow Dwarf | Wealth: 450g | Influence: 10
Shadow Dwarf | Wealth: 450g | Influence: 0
Shadow Dwarf | Wealth: 450g | Influence: 20
Shadow Dwarf | Wealth: 450g | Influence: 10
Shadow Dwarf | Wealth: 450g | Influence: 0

Smith Orc | Wealth: 400g | Influence: 35
Smith Orc | Wealth: 400g | Influence: 30
Smith Orc | Wealth: 400g | Influence: 15
Smith Orc | Wealth: 400g | Influence: 25
Smith Orc | Wealth: 400g | Influence: 20
Smith Orc | Wealth: 400g | Influence: 10
Smith Orc | Wealth: 400g | Influence: 30
Smith Orc | Wealth: 400g | Influence: 20
Smith Orc | Wealth: 400g | Influence: 0
Trader Orc | Wealth: 1500g | Influence: 55
Trader Orc | Wealth: 1500g | Influence: 50
Trader Orc | Wealth: 1500g | Influence: 35
Trader Orc | Wealth: 1500g | Influence: 45
Trader Orc | Wealth: 1500g | Influence: 40
Trader Orc | Wealth: 1500g | Influence: 30
Trader Orc | Wealth: 1500g | Influence: 50
Trader Orc | Wealth: 1500g | Influence: 40
Trader Orc | Wealth: 1500g | Influence: 20
Captain Orc | Wealth: 250g | Influence: 45
Captain Orc | Wealth: 250g | Influence: 40
Captain Orc | Wealth: 250g | Influence: 25
Captain Orc | Wealth: 250g | Influence: 35
Captain Orc | Wealth: 250g | Influence: 30
Captain Orc | Wealth: 250g | Influence: 20
Captain Orc | Wealth: 250g | Influence: 40
Captain Orc | Wealth: 250g | Influence: 30
Captain Orc | Wealth: 250g | Influence: 10
Citizen Orc | Wealth: 50g | Influence: 10
Citizen Orc | Wealth: 50g | Influence: 10
Citizen Orc | Wealth: 50g | Influence: 0
Citizen Orc | Wealth: 50g | Influence: 10
Citizen Orc | Wealth: 50g | Influence: 5
Citizen Orc | Wealth: 50g | Influence: 0
Citizen Orc | Wealth: 50g | Influence: 10
Citizen Orc | Wealth: 50g | Influence: 5
Citizen Orc | Wealth: 50g | Influence: 0
Master Orc | Wealth: 500g | Influence: 65
Master Orc | Wealth: 500g | Influence: 60
Master Orc | Wealth: 500g | Influence: 45
Master Orc | Wealth: 500g | Influence: 55
Master Orc | Wealth: 500g | Influence: 50
Master Orc | Wealth: 500g | Influence: 40
Master Orc | Wealth: 500g | Influence: 60
Master Orc | Wealth: 500g | Influence: 50
Master Orc | Wealth: 500g | Influence: 30
Lord Orc | Wealth: 5000g | Influence: 95
Lord Orc | Wealth: 5000g | Influence: 90
Lord Orc | Wealth: 5000g | Influence: 75
Lord Orc | Wealth: 5000g | Influence: 85
Lord Orc | Wealth: 5000g | Influence: 80
Lord Orc | Wealth: 5000g | Influence: 70
Lord Orc | Wealth: 5000g | Influence: 90
Lord Orc | Wealth: 5000g | Influence: 80
Lord Orc | Wealth: 5000g | Influence: 60
Father Orc | Wealth: 750g | Influence: 75
Father Orc | Wealth: 750g | Influence: 70
Father Orc | Wealth: 750g | Influence: 55
Father Orc | Wealth: 750g | Influence: 65
Father Orc | Wealth: 750g | Influence: 60
Father Orc | Wealth: 750g | Influence: 50
Father Orc | Wealth: 750g | Influence: 70
Father Orc | Wealth: 750g | Influence: 60
Father Orc | Wealth: 750g | Influence: 40
Shadow Orc | Wealth: 150g | Influence: 25
Shadow Orc | Wealth: 150g | Influence: 20
Shadow Orc | Wealth: 150g | Influence: 5
Shadow Orc | Wealth: 150g | Influence: 15
Shadow Orc | Wealth: 150g | Influence: 10
Shadow Orc | Wealth: 150g | Influence: 0
Shadow Orc | Wealth: 150g | Influence: 20
Shadow Orc | Wealth: 150g | Influence: 10
Shadow Orc | Wealth: 150g | Influence: 0

Smith Halfling | Wealth: 640g | Influence: 35
Smith Halfling | Wealth: 640g | Influence: 30
Smith Halfling | Wealth: 640g | Influence: 15
Smith Halfling | Wealth: 640g | Influence: 25
Smith Halfling | Wealth: 640g | Influence: 20
Smith Halfling | Wealth: 640g | Influence: 10
Smith Halfling | Wealth: 640g | Influence: 30
Smith Halfling | Wealth: 640g | Influence: 20
Smith Halfling | Wealth: 640g | Influence: 0
Trader Halfling | Wealth: 2400g | Influence: 55
Trader Halfling | Wealth: 2400g | Influence: 50
Trader Halfling | Wealth: 2400g | Influence: 35
Trader Halfling | Wealth: 2400g | Influence: 45
Trader Halfling | Wealth: 2400g | Influence: 40
Trader Halfling | Wealth: 2400g | Influence: 30
Trader Halfling | Wealth: 2400g | Influence: 50
Trader Halfling | Wealth: 2400g | Influence: 40
Trader Halfling | Wealth: 2400g | Influence: 20
Captain Halfling | Wealth: 400g | Influence: 45
Captain Halfling | Wealth: 400g | Influence: 40
Captain Halfling | Wealth: 400g | Influence: 25
Captain Halfling | Wealth: 400g | Influence: 35
Captain Halfling | Wealth: 400g | Influence: 30
Captain Halfling | Wealth: 400g | Influence: 20
Captain Halfling | Wealth: 400g | Influence: 40
Captain Halfling | Wealth: 400g | Influence: 30
Captain Halfling | Wealth: 400g | Influence: 10
Citizen Halfling | Wealth: 80g | Influence: 10
Citizen Halfling | Wealth: 80g | Influence: 10
Citizen Halfling | Wealth: 80g | Influence: 0
Citizen Halfling | Wealth: 80g | Influence: 10
Citizen Halfling | Wealth: 80g | Influence: 5
Citizen Halfling | Wealth: 80g | Influence: 0
Citizen Halfling | Wealth: 80g | Influence: 10
Citizen Halfling | Wealth: 80g | Influence: 5
Citizen Halfling | Wealth: 80g | Influence: 0
Master Halfling | Wealth: 800g | Influence: 65
Master Halfling | Wealth: 800g | Influence: 60
Master Halfling | Wealth: 800g | Influence: 45
Master Halfling | Wealth: 800g | Influence: 55
Master Halfling | Wealth: 800g | Influence: 50
Master Halfling | Wealth: 800g | Influence: 40
Master Halfling | Wealth: 800g | Influence: 60
Master Halfling | Wealth: 800g | Influence: 50
Master Halfling | Wealth: 800g | Influence: 30
Lord Halfling | Wealth: 8000g | Influence: 95
Lord Halfling | Wealth: 8000g | Influence: 90
Lord Halfling | Wealth: 8000g | Influence: 75
Lord Halfling | Wealth: 8000g | Influence: 85
Lord Halfling | Wealth: 8000g | Influence: 80
Lord Halfling | Wealth: 8000g | Influence: 70
Lord Halfling | Wealth: 8000g | Influence: 90
Lord Halfling | Wealth: 8000g | Influence: 80
Lord Halfling | Wealth: 8000g | Influence: 60
Father Halfling | Wealth: 1200g | Influence: 75
Father Halfling | Wealth: 1200g | Influence: 70
Father Halfling | Wealth: 1200g | Influence: 55
Father Halfling | Wealth: 1200g | Influence: 65
Father Halfling | Wealth: 1200g | Influence: 60
Father Halfling | Wealth: 1200g | Influence: 50
Father Halfling | Wealth: 1200g | Influence: 70
Father Halfling | Wealth: 1200g | Influence: 60
Father Halfling | Wealth: 1200g | Influence: 40
Shadow Halfling | Wealth: 240g | Influence: 25
Shadow Halfling | Wealth: 240g | Influence: 20
Shadow Halfling | Wealth: 240g | Influence: 5
Shadow Halfling | Wealth: 240g | Influence: 15
Shadow Halfling | Wealth: 240g | Influence: 10
Shadow Halfling | Wealth: 240g | Influence: 0
Shadow Halfling | Wealth: 240g | Influence: 20
Shadow Halfling | Wealth: 240g | Influence: 10
Shadow Halfling | Wealth: 240g | Influence: 0

Smith Gnome | Wealth: 640g | Influence: 35
Smith Gnome | Wealth: 640g | Influence: 30
Smith Gnome | Wealth: 640g | Influence: 15
Smith Gnome | Wealth: 640g | Influence: 25
Smith Gnome | Wealth: 640g | Influence: 20
Smith Gnome | Wealth: 640g | Influence: 10
Smith Gnome | Wealth: 640g | Influence: 30
Smith Gnome | Wealth: 640g | Influence: 20
Smith Gnome | Wealth: 640g | Influence: 0
Trader Gnome | Wealth: 2400g | Influence: 55
Trader Gnome | Wealth: 2400g | Influence: 50
Trader Gnome | Wealth: 2400g | Influence: 35
Trader Gnome | Wealth: 2400g | Influence: 45
Trader Gnome | Wealth: 2400g | Influence: 40
Trader Gnome | Wealth: 2400g | Influence: 30
Trader Gnome | Wealth: 2400g | Influence: 50
Trader Gnome | Wealth: 2400g | Influence: 40
Trader Gnome | Wealth: 2400g | Influence: 20
Captain Gnome | Wealth: 400g | Influence: 45
Captain Gnome | Wealth: 400g | Influence: 40
Captain Gnome | Wealth: 400g | Influence: 25
Captain Gnome | Wealth: 400g | Influence: 35
Captain Gnome | Wealth: 400g | Influence: 30
Captain Gnome | Wealth: 400g | Influence: 20
Captain Gnome | Wealth: 400g | Influence: 40
Captain Gnome | Wealth: 400g | Influence: 30
Captain Gnome | Wealth: 400g | Influence: 10
Citizen Gnome | Wealth: 80g | Influence: 10
Citizen Gnome | Wealth: 80g | Influence: 10
Citizen Gnome | Wealth: 80g | Influence: 0
Citizen Gnome | Wealth: 80g | Influence: 10
Citizen Gnome | Wealth: 80g | Influence: 5
Citizen Gnome | Wealth: 80g | Influence: 0
Citizen Gnome | Wealth: 80g | Influence: 10
Citizen Gnome | Wealth: 80g | Influence: 5
Citizen Gnome | Wealth: 80g | Influence: 0
Master Gnome | Wealth: 800g | Influence: 65
Master Gnome | Wealth: 800g | Influence: 60
Master Gnome | Wealth: 800g | Influence: 45
Master Gnome | Wealth: 800g | Influence: 55
Master Gnome | Wealth: 800g | Influence: 50
Master Gnome | Wealth: 800g | Influence: 40
Master Gnome | Wealth: 800g | Influence: 60
Master Gnome | Wealth: 800g | Influence: 50
Master Gnome | Wealth: 800g | Influence: 30
Lord Gnome | Wealth: 8000g | Influence: 95
Lord Gnome | Wealth: 8000g | Influence: 90
Lord Gnome | Wealth: 8000g | Influence: 75
Lord Gnome | Wealth: 8000g | Influence: 85
Lord Gnome | Wealth: 8000g | Influence: 80
Lord Gnome | Wealth: 8000g | Influence: 70
Lord Gnome | Wealth: 8000g | Influence: 90
Lord Gnome | Wealth: 8000g | Influence: 80
Lord Gnome | Wealth: 8000g | Influence: 60
Father Gnome | Wealth: 1200g | Influence: 75
Father Gnome | Wealth: 1200g | Influence: 70
Father Gnome | Wealth: 1200g | Influence: 55
Father Gnome | Wealth: 1200g | Influence: 65
Father Gnome | Wealth: 1200g | Influence: 60
Father Gnome | Wealth: 1200g | Influence: 50
Father Gnome | Wealth: 1200g | Influence: 70
Father Gnome | Wealth: 1200g | Influence: 60
Father Gnome | Wealth: 1200g | Influence: 40
Shadow Gnome | Wealth: 240g | Influence: 25
Shadow Gnome | Wealth: 240g | Influence: 20
Shadow Gnome | Wealth: 240g | Influence: 5
Shadow Gnome | Wealth: 240g | Influence: 15
Shadow Gnome | Wealth: 240g | Influence: 10
Shadow Gnome | Wealth: 240g | Influence: 0
Shadow Gnome | Wealth: 240g | Influence: 20
Shadow Gnome | Wealth: 240g | Influence: 10
Shadow Gnome | Wealth: 240g | Influence: 0

Smith Tiefling | Wealth: 800g | Influence: 35
Smith Tiefling | Wealth: 800g | Influence: 30
Smith Tiefling | Wealth: 800g | Influence: 15
Smith Tiefling | Wealth: 800g | Influence: 25
Smith Tiefling | Wealth: 800g | Influence: 20
Smith Tiefling | Wealth: 800g | Influence: 10
Smith Tiefling | Wealth: 800g | Influence: 30
Smith Tiefling | Wealth: 800g | Influence: 20
Smith Tiefling | Wealth: 800g | Influence: 0
Trader Tiefling | Wealth: 3000g | Influence: 55
Trader Tiefling | Wealth: 3000g | Influence: 50
Trader Tiefling | Wealth: 3000g | Influence: 35
Trader Tiefling | Wealth: 3000g | Influence: 45
Trader Tiefling | Wealth: 3000g | Influence: 40
Trader Tiefling | Wealth: 3000g | Influence: 30
Trader Tiefling | Wealth: 3000g | Influence: 50
Trader Tiefling | Wealth: 3000g | Influence: 40
Trader Tiefling | Wealth: 3000g | Influence: 20
Captain Tiefling | Wealth: 500g | Influence: 45
Captain Tiefling | Wealth: 500g | Influence: 40
Captain Tiefling | Wealth: 500g | Influence: 25
Captain Tiefling | Wealth: 500g | Influence: 35
Captain Tiefling | Wealth: 500g | Influence: 30
Captain Tiefling | Wealth: 500g | Influence: 20
Captain Tiefling | Wealth: 500g | Influence: 40
Captain Tiefling | Wealth: 500g | Influence: 30
Captain Tiefling | Wealth: 500g | Influence: 10
Citizen Tiefling | Wealth: 100g | Influence: 10
Citizen Tiefling | Wealth: 100g | Influence: 10
Citizen Tiefling | Wealth: 100g | Influence: 0
Citizen Tiefling | Wealth: 100g | Influence: 10
Citizen Tiefling | Wealth: 100g | Influence: 5
Citizen Tiefling | Wealth: 100g | Influence: 0
Citizen Tiefling | Wealth: 100g | Influence: 10
Citizen Tiefling | Wealth: 100g | Influence: 5
Citizen Tiefling | Wealth: 100g | Influence: 0
Master Tiefling | Wealth: 1000g | Influence: 65
Master Tiefling | Wealth: 1000g | Influence: 60
Master Tiefling | Wealth: 1000g | Influence: 45
Master Tiefling | Wealth: 1000g | Influence: 55
Master Tiefling | Wealth: 1000g | Influence: 50
Master Tiefling | Wealth: 1000g | Influence: 40
Master Tiefling | Wealth: 1000g | Influence: 60
Master Tiefling | Wealth: 1000g | Influence: 50
Master Tiefling | Wealth: 1000g | Influence: 30
Lord Tiefling | Wealth: 10000g | Influence: 95
Lord Tiefling | Wealth: 10000g | Influence: 90
Lord Tiefling | Wealth: 10000g | Influence: 75
Lord Tiefling | Wealth: 10000g | Influence: 85
Lord Tiefling | Wealth: 10000g | Influence: 80
Lord Tiefling | Wealth: 10000g | Influence: 70
Lord Tiefling | Wealth: 10000g | Influence: 90
Lord Tiefling | Wealth: 10000g | Influence: 80
Lord Tiefling | Wealth: 10000g | Influence: 60
Father Tiefling | Wealth: 1500g | Influence: 75
Father Tiefling | Wealth: 1500g | Influence: 70
Father Tiefling | Wealth: 1500g | Influence: 55
Father Tiefling | Wealth: 1500g | Influence: 65
Father Tiefling | Wealth: 1500g | Influence: 60
Father Tiefling | Wealth: 1500g | Influence: 50
Father Tiefling | Wealth: 1500g | Influence: 70
Father Tiefling | Wealth: 1500g | Influence: 60
Father Tiefling | Wealth: 1500g | Influence: 40
Shadow Tiefling | Wealth: 300g | Influence: 25
Shadow Tiefling | Wealth: 300g | Influence: 20
Shadow Tiefling | Wealth: 300g | Influence: 5
Shadow Tiefling | Wealth: 300g | Influence: 15
Shadow Tiefling | Wealth: 300g | Influence: 10
Shadow Tiefling | Wealth: 300g | Influence: 0
Shadow Tiefling | Wealth: 300g | Influence: 20
Shadow Tiefling | Wealth: 300g | Influence: 10
Shadow Tiefling | Wealth: 300g | Influence: 0

Smith Dragonkin | Wealth: 960g | Influence: 35
Smith Dragonkin | Wealth: 960g | Influence: 30
Smith Dragonkin | Wealth: 960g | Influence: 15
Smith Dragonkin | Wealth: 960g | Influence: 25
Smith Dragonkin | Wealth: 960g | Influence: 20
Smith Dragonkin | Wealth: 960g | Influence: 10
Smith Dragonkin | Wealth: 960g | Influence: 30
Smith Dragonkin | Wealth: 960g | Influence: 20
Smith Dragonkin | Wealth: 960g | Influence: 0
Trader Dragonkin | Wealth: 3600g | Influence: 55
Trader Dragonkin | Wealth: 3600g | Influence: 50
Trader Dragonkin | Wealth: 3600g | Influence: 35
Trader Dragonkin | Wealth: 3600g | Influence: 45
Trader Dragonkin | Wealth: 3600g | Influence: 40
Trader Dragonkin | Wealth: 3600g | Influence: 30
Trader Dragonkin | Wealth: 3600g | Influence: 50
Trader Dragonkin | Wealth: 3600g | Influence: 40
Trader Dragonkin | Wealth: 3600g | Influence: 20
Captain Dragonkin | Wealth: 600g | Influence: 45
Captain Dragonkin | Wealth: 600g | Influence: 40
Captain Dragonkin | Wealth: 600g | Influence: 25
Captain Dragonkin | Wealth: 600g | Influence: 35
Captain Dragonkin | Wealth: 600g | Influence: 30
Captain Dragonkin | Wealth: 600g | Influence: 20
Captain Dragonkin | Wealth: 600g | Influence: 40
Captain Dragonkin | Wealth: 600g | Influence: 30
Captain Dragonkin | Wealth: 600g | Influence: 10
Citizen Dragonkin | Wealth: 120g | Influence: 10
Citizen Dragonkin | Wealth: 120g | Influence: 10
Citizen Dragonkin | Wealth: 120g | Influence: 0
Citizen Dragonkin | Wealth: 120g | Influence: 10
Citizen Dragonkin | Wealth: 120g | Influence: 5
Citizen Dragonkin | Wealth: 120g | Influence: 0
Citizen Dragonkin | Wealth: 120g | Influence: 10
Citizen Dragonkin | Wealth: 120g | Influence: 5
Citizen Dragonkin | Wealth: 120g | Influence: 0
Master Dragonkin | Wealth: 1200g | Influence: 65
Master Dragonkin | Wealth: 1200g | Influence: 60
Master Dragonkin | Wealth: 1200g | Influence: 45
Master Dragonkin | Wealth: 1200g | Influence: 55
Master Dragonkin | Wealth: 1200g | Influence: 50
Master Dragonkin | Wealth: 1200g | Influence: 40
Master Dragonkin | Wealth: 1200g | Influence: 60
Master Dragonkin | Wealth: 1200g | Influence: 50
Master Dragonkin | Wealth: 1200g | Influence: 30
Lord Dragonkin | Wealth: 12000g | Influence: 95
Lord Dragonkin | Wealth: 12000g | Influence: 90
Lord Dragonkin | Wealth: 12000g | Influence: 75
Lord Dragonkin | Wealth: 12000g | Influence: 85
Lord Dragonkin | Wealth: 12000g | Influence: 80
Lord Dragonkin | Wealth: 12000g | Influence: 70
Lord Dragonkin | Wealth: 12000g | Influence: 90
Lord Dragonkin | Wealth: 12000g | Influence: 80
Lord Dragonkin | Wealth: 12000g | Influence: 60
Father Dragonkin | Wealth: 1800g | Influence: 75
Father Dragonkin | Wealth: 1800g | Influence: 70
Father Dragonkin | Wealth: 1800g | Influence: 55
Father Dragonkin | Wealth: 1800g | Influence: 65
Father Dragonkin | Wealth: 1800g | Influence: 60
Father Dragonkin | Wealth: 1800g | Influence: 50
Father Dragonkin | Wealth: 1800g | Influence: 70
Father Dragonkin | Wealth: 1800g | Influence: 60
Father Dragonkin | Wealth: 1800g | Influence: 40
Shadow Dragonkin | Wealth: 360g | Influence: 25
