
Dafny program verifier finished with 12 verified, 0 errors
=== MONSTER CODEX ===
Swarm of Infernal Dragon | HP: 166 | ATK: 53 | Threat Level: 42
Dire Frost Goblin | HP: 102 | ATK: 18 | Threat Level: 19
Dire Void Goblin | HP: 110 | ATK: 22 | Threat Level: 22
Dire Goblin | HP: 90 | ATK: 12 | Threat Level: 15
Towering Infernal Goblin | HP: 176 | ATK: 27 | Threat Level: 30
Towering Abyssal Goblin | HP: 168 | ATK: 23 | Threat Level: 27
Towering Stone Goblin | HP: 170 | ATK: 24 | Threat Level: 29
Towering Storm Goblin | HP: 166 | ATK: 22 | Threat Level: 27
Towering Volt Goblin | HP: 174 | ATK: 26 | Threat Level: 30
Towering Frost Goblin | HP: 172 | ATK: 25 | Threat Level: 29
Towering Void Goblin | HP: 180 | ATK: 29 | Threat Level: 32
Towering Goblin | HP: 160 | ATK: 19 | Threat Level: 25
Colossal Infernal Goblin | HP: 276 | ATK: 37 | Threat Level: 45
Colossal Abyssal Goblin | HP: 268 | ATK: 33 | Threat Level: 42
Colossal Stone Goblin | HP: 270 | ATK: 34 | Threat Level: 44
Colossal Storm Goblin | HP: 266 | ATK: 32 | Threat Level: 42
Colossal Volt Goblin | HP: 274 | ATK: 36 | Threat Level: 45
Colossal Frost Goblin | HP: 272 | ATK: 35 | Threat Level: 44
Colossal Void Goblin | HP: 280 | ATK: 39 | Threat Level: 47
Colossal Goblin | HP: 260 | ATK: 29 | Threat Level: 40
