
Dafny program verifier finished with 17 verified, 0 errors
Total locations generated: 384

Hidden Verdant Metropolis | Biome: Forest | Type: City | Size: Tiny | Danger: 5
Hidden Craggy Metropolis | Biome: Mountain | Type: City | Size: Tiny | Danger: 5
Quiet Craggy Metropolis | Biome: Mountain | Type: City | Size: Small | Danger: 10
Craggy Metropolis | Biome: Mountain | Type: City | Size: Medium | Danger: 15
Grand Craggy Metropolis | Biome: Mountain | Type: City | Size: Large | Danger: 20
Endless Craggy Metropolis | Biome: Mountain | Type: City | Size: Vast | Danger: 25
Titanic Craggy Metropolis | Biome: Mountain | Type: City | Size: Colossal | Danger: 30
Hidden Craggy Hamlet | Biome: Mountain | Type: Village | Size: Tiny | Danger: 5
Quiet Craggy Hamlet | Biome: Mountain | Type: Village | Size: Small | Danger: 10
Craggy Hamlet | Biome: Mountain | Type: Village | Size: Medium | Danger: 15
Grand Craggy Hamlet | Biome: Mountain | Type: Village | Size: Large | Danger: 20
Endless Craggy Hamlet | Biome: Mountain | Type: Village | Size: Vast | Danger: 25
Titanic Craggy Hamlet | Biome: Mountain | Type: Village | Size: Colossal | Danger: 30
Hidden Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Tiny | Danger: 5
Quiet Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Small | Danger: 10
Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Medium | Danger: 15
Grand Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Large | Danger: 20
Endless Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Vast | Danger: 25
Titanic Craggy Remnants | Biome: Mountain | Type: Ruins | Size: Colossal | Danger: 30
Hidden Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Tiny | Danger: 5
Quiet Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Small | Danger: 10
Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Medium | Danger: 15
Grand Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Large | Danger: 20
Endless Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Vast | Danger: 25
Titanic Craggy Labyrinth | Biome: Mountain | Type: Dungeon | Size: Colossal | Danger: 30
Hidden Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Tiny | Danger: 5
Quiet Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Small | Danger: 10
Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Medium | Danger: 15
Grand Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Large | Danger: 20
Endless Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Vast | Danger: 25
Titanic Craggy Bastion of the Sky | Biome: Mountain | Type: Fortress | Size: Colossal | Danger: 30
Hidden Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Tiny | Danger: 5
Quiet Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Small | Danger: 10
Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Medium | Danger: 15
Grand Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Large | Danger: 20
Endless Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Vast | Danger: 25
Titanic Craggy Sanctuary | Biome: Mountain | Type: Temple | Size: Colossal | Danger: 30
Hidden Craggy Grotto | Biome: Mountain | Type: Cave | Size: Tiny | Danger: 5
Quiet Craggy Grotto | Biome: Mountain | Type: Cave | Size: Small | Danger: 10
Craggy Grotto | Biome: Mountain | Type: Cave | Size: Medium | Danger: 15
Grand Craggy Grotto | Biome: Mountain | Type: Cave | Size: Large | Danger: 20
Endless Craggy Grotto | Biome: Mountain | Type: Cave | Size: Vast | Danger: 25
Titanic Craggy Grotto | Biome: Mountain | Type: Cave | Size: Colossal | Danger: 30
Hidden Craggy Watch | Biome: Mountain | Type: Outpost | Size: Tiny | Danger: 5
Quiet Craggy Watch | Biome: Mountain | Type: Outpost | Size: Small | Danger: 10
Craggy Watch | Biome: Mountain | Type: Outpost | Size: Medium | Danger: 15
Grand Craggy Watch | Biome: Mountain | Type: Outpost | Size: Large | Danger: 20
Endless Craggy Watch | Biome: Mountain | Type: Outpost | Size: Vast | Danger: 25
Titanic Craggy Watch | Biome: Mountain | Type: Outpost | Size: Colossal | Danger: 30
Hidden Sunbaked Metropolis | Biome: Desert | Type: City | Size: Tiny | Danger: 5
Quiet Sunbaked Metropolis | Biome: Desert | Type: City | Size: Small | Danger: 10
Sunbaked Metropolis | Biome: Desert | Type: City | Size: Medium | Danger: 15
Grand Sunbaked Metropolis | Biome: Desert | Type: City | Size: Large | Danger: 20
Endless Sunbaked Metropolis | Biome: Desert | Type: City | Size: Vast | Danger: 25
Titanic Sunbaked Metropolis | Biome: Desert | Type: City | Size: Colossal | Danger: 30
Hidden Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Tiny | Danger: 5
Quiet Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Small | Danger: 10
Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Medium | Danger: 15
Grand Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Large | Danger: 20
Endless Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Vast | Danger: 25
Titanic Sunbaked Hamlet | Biome: Desert | Type: Village | Size: Colossal | Danger: 30
Hidden Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Tiny | Danger: 5
Quiet Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Small | Danger: 10
Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Medium | Danger: 15
Grand Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Large | Danger: 20
Endless Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Vast | Danger: 25
Titanic Sunbaked Remnants of Lost Kings | Biome: Desert | Type: Ruins | Size: Colossal | Danger: 30
Hidden Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Tiny | Danger: 5
Quiet Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Small | Danger: 10
Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Medium | Danger: 15
Grand Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Large | Danger: 20
Endless Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Vast | Danger: 25
Titanic Sunbaked Labyrinth | Biome: Desert | Type: Dungeon | Size: Colossal | Danger: 30
Hidden Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Tiny | Danger: 5
Quiet Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Small | Danger: 10
Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Medium | Danger: 15
Grand Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Large | Danger: 20
Endless Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Vast | Danger: 25
Titanic Sunbaked Bastion | Biome: Desert | Type: Fortress | Size: Colossal | Danger: 30
Hidden Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Tiny | Danger: 5
Quiet Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Small | Danger: 10
Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Medium | Danger: 15
Grand Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Large | Danger: 20
Endless Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Vast | Danger: 25
Titanic Sunbaked Sanctuary | Biome: Desert | Type: Temple | Size: Colossal | Danger: 30
Hidden Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Tiny | Danger: 5
Quiet Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Small | Danger: 10
Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Medium | Danger: 15
Grand Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Large | Danger: 20
Endless Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Vast | Danger: 25
Titanic Sunbaked Grotto | Biome: Desert | Type: Cave | Size: Colossal | Danger: 30
Hidden Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Tiny | Danger: 5
Quiet Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Small | Danger: 10
Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Medium | Danger: 15
Grand Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Large | Danger: 20
Endless Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Vast | Danger: 25
Titanic Sunbaked Watch | Biome: Desert | Type: Outpost | Size: Colossal | Danger: 30
Hidden Murky Metropolis | Biome: Swamp | Type: City | Size: Tiny | Danger: 20
Quiet Murky Metropolis | Biome: Swamp | Type: City | Size: Small | Danger: 40
Murky Metropolis | Biome: Swamp | Type: City | Size: Medium | Danger: 60
Grand Murky Metropolis | Biome: Swamp | Type: City | Size: Large | Danger: 80
Endless Murky Metropolis | Biome: Swamp | Type: City | Size: Vast | Danger: 100
Titanic Murky Metropolis | Biome: Swamp | Type: City | Size: Colossal | Danger: 120
Hidden Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Tiny | Danger: 20
Quiet Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Small | Danger: 40
Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Medium | Danger: 60
Grand Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Large | Danger: 80
Endless Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Vast | Danger: 100
Titanic Murky Hamlet of Sorrows | Biome: Swamp | Type: Village | Size: Colossal | Danger: 120
Hidden Murky Remnants | Biome: Swamp | Type: Ruins | Size: Tiny | Danger: 20
Quiet Murky Remnants | Biome: Swamp | Type: Ruins | Size: Small | Danger: 40
Murky Remnants | Biome: Swamp | Type: Ruins | Size: Medium | Danger: 60
Grand Murky Remnants | Biome: Swamp | Type: Ruins | Size: Large | Danger: 80
Endless Murky Remnants | Biome: Swamp | Type: Ruins | Size: Vast | Danger: 100
Titanic Murky Remnants | Biome: Swamp | Type: Ruins | Size: Colossal | Danger: 120
Hidden Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Tiny | Danger: 20
Quiet Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Small | Danger: 40
Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Medium | Danger: 60
Grand Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Large | Danger: 80
Endless Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Vast | Danger: 100
Titanic Murky Labyrinth | Biome: Swamp | Type: Dungeon | Size: Colossal | Danger: 120
Hidden Murky Bastion | Biome: Swamp | Type: Fortress | Size: Tiny | Danger: 20
Quiet Murky Bastion | Biome: Swamp | Type: Fortress | Size: Small | Danger: 40
Murky Bastion | Biome: Swamp | Type: Fortress | Size: Medium | Danger: 60
Grand Murky Bastion | Biome: Swamp | Type: Fortress | Size: Large | Danger: 80
Endless Murky Bastion | Biome: Swamp | Type: Fortress | Size: Vast | Danger: 100
Titanic Murky Bastion | Biome: Swamp | Type: Fortress | Size: Colossal | Danger: 120
Hidden Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Tiny | Danger: 20
Quiet Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Small | Danger: 40
Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Medium | Danger: 60
Grand Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Large | Danger: 80
Endless Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Vast | Danger: 100
Titanic Murky Sanctuary | Biome: Swamp | Type: Temple | Size: Colossal | Danger: 120
Hidden Murky Grotto | Biome: Swamp | Type: Cave | Size: Tiny | Danger: 20
Quiet Murky Grotto | Biome: Swamp | Type: Cave | Size: Small | Danger: 40
Murky Grotto | Biome: Swamp | Type: Cave | Size: Medium | Danger: 60
Grand Murky Grotto | Biome: Swamp | Type: Cave | Size: Large | Danger: 80
Endless Murky Grotto | Biome: Swamp | Type: Cave | Size: Vast | Danger: 100
Titanic Murky Grotto | Biome: Swamp | Type: Cave | Size: Colossal | Danger: 120
Hidden Murky Watch | Biome: Swamp | Type: Outpost | Size: Tiny | Danger: 20
Quiet Murky Watch | Biome: Swamp | Type: Outpost | Size: Small | Danger: 40
Murky Watch | Biome: Swamp | Type: Outpost | Size: Medium | Danger: 60
Grand Murky Watch | Biome: Swamp | Type: Outpost | Size: Large | Danger: 80
Endless Murky Watch | Biome: Swamp | Type: Outpost | Size: Vast | Danger: 100
Titanic Murky Watch | Biome: Swamp | Type: Outpost | Size: Colossal | Danger: 120
Hidden Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Tiny | Danger: 20
Quiet Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Small | Danger: 40
Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Medium | Danger: 60
Grand Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Large | Danger: 80
Endless Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Vast | Danger: 100
Titanic Abyssal Metropolis of the Deep | Biome: Ocean | Type: City | Size: Colossal | Danger: 120
Hidden Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Tiny | Danger: 20
Quiet Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Small | Danger: 40
Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Medium | Danger: 60
Grand Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Large | Danger: 80
Endless Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Vast | Danger: 100
Titanic Abyssal Hamlet | Biome: Ocean | Type: Village | Size: Colossal | Danger: 120
Hidden Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Tiny | Danger: 20
Quiet Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Small | Danger: 40
Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Medium | Danger: 60
Grand Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Large | Danger: 80
Endless Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Vast | Danger: 100
Titanic Abyssal Remnants | Biome: Ocean | Type: Ruins | Size: Colossal | Danger: 120
Hidden Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Tiny | Danger: 20
Quiet Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Small | Danger: 40
Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Medium | Danger: 60
Grand Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Large | Danger: 80
Endless Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Vast | Danger: 100
Titanic Abyssal Labyrinth | Biome: Ocean | Type: Dungeon | Size: Colossal | Danger: 120
Hidden Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Tiny | Danger: 20
Quiet Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Small | Danger: 40
Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Medium | Danger: 60
Grand Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Large | Danger: 80
Endless Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Vast | Danger: 100
Titanic Abyssal Bastion | Biome: Ocean | Type: Fortress | Size: Colossal | Danger: 120
Hidden Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Tiny | Danger: 20
Quiet Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Small | Danger: 40
Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Medium | Danger: 60
Grand Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Large | Danger: 80
Endless Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Vast | Danger: 100
Titanic Abyssal Sanctuary | Biome: Ocean | Type: Temple | Size: Colossal | Danger: 120
Hidden Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Tiny | Danger: 20
Quiet Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Small | Danger: 40
Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Medium | Danger: 60
Grand Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Large | Danger: 80
Endless Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Vast | Danger: 100
Titanic Abyssal Grotto | Biome: Ocean | Type: Cave | Size: Colossal | Danger: 120
Hidden Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Tiny | Danger: 20
Quiet Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Small | Danger: 40
Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Medium | Danger: 60
Grand Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Large | Danger: 80
Endless Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Vast | Danger: 100
Titanic Abyssal Watch | Biome: Ocean | Type: Outpost | Size: Colossal | Danger: 120
Hidden Frozen Metropolis | Biome: Tundra | Type: City | Size: Tiny | Danger: 5
Quiet Frozen Metropolis | Biome: Tundra | Type: City | Size: Small | Danger: 10
Frozen Metropolis | Biome: Tundra | Type: City | Size: Medium | Danger: 15
Grand Frozen Metropolis | Biome: Tundra | Type: City | Size: Large | Danger: 20
Endless Frozen Metropolis | Biome: Tundra | Type: City | Size: Vast | Danger: 25
Titanic Frozen Metropolis | Biome: Tundra | Type: City | Size: Colossal | Danger: 30
Hidden Frozen Hamlet | Biome: Tundra | Type: Village | Size: Tiny | Danger: 5
Quiet Frozen Hamlet | Biome: Tundra | Type: Village | Size: Small | Danger: 10
Frozen Hamlet | Biome: Tundra | Type: Village | Size: Medium | Danger: 15
Grand Frozen Hamlet | Biome: Tundra | Type: Village | Size: Large | Danger: 20
Endless Frozen Hamlet | Biome: Tundra | Type: Village | Size: Vast | Danger: 25
Titanic Frozen Hamlet | Biome: Tundra | Type: Village | Size: Colossal | Danger: 30
Hidden Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Tiny | Danger: 5
Quiet Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Small | Danger: 10
Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Medium | Danger: 15
Grand Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Large | Danger: 20
Endless Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Vast | Danger: 25
Titanic Frozen Remnants | Biome: Tundra | Type: Ruins | Size: Colossal | Danger: 30
Hidden Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Tiny | Danger: 5
Quiet Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Small | Danger: 10
Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Medium | Danger: 15
Grand Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Large | Danger: 20
Endless Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Vast | Danger: 25
Titanic Frozen Labyrinth | Biome: Tundra | Type: Dungeon | Size: Colossal | Danger: 30
Hidden Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Tiny | Danger: 5
Quiet Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Small | Danger: 10
Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Medium | Danger: 15
Grand Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Large | Danger: 20
Endless Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Vast | Danger: 25
Titanic Frozen Bastion | Biome: Tundra | Type: Fortress | Size: Colossal | Danger: 30
Hidden Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Tiny | Danger: 5
Quiet Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Small | Danger: 10
Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Medium | Danger: 15
Grand Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Large | Danger: 20
Endless Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Vast | Danger: 25
Titanic Frozen Sanctuary | Biome: Tundra | Type: Temple | Size: Colossal | Danger: 30
Hidden Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Tiny | Danger: 5
Quiet Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Small | Danger: 10
Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Medium | Danger: 15
Grand Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Large | Danger: 20
Endless Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Vast | Danger: 25
Titanic Frozen Grotto of Echoes | Biome: Tundra | Type: Cave | Size: Colossal | Danger: 30
Hidden Frozen Watch | Biome: Tundra | Type: Outpost | Size: Tiny | Danger: 5
Quiet Frozen Watch | Biome: Tundra | Type: Outpost | Size: Small | Danger: 10
Frozen Watch | Biome: Tundra | Type: Outpost | Size: Medium | Danger: 15
Grand Frozen Watch | Biome: Tundra | Type: Outpost | Size: Large | Danger: 20
Endless Frozen Watch | Biome: Tundra | Type: Outpost | Size: Vast | Danger: 25
Titanic Frozen Watch | Biome: Tundra | Type: Outpost | Size: Colossal | Danger: 30
Hidden Windswept Metropolis | Biome: Plains | Type: City | Size: Tiny | Danger: 5
Quiet Windswept Metropolis | Biome: Plains | Type: City | Size: Small | Danger: 10
Windswept Metropolis | Biome: Plains | Type: City | Size: Medium | Danger: 15
Grand Windswept Metropolis | Biome: Plains | Type: City | Size: Large | Danger: 20
Endless Windswept Metropolis | Biome: Plains | Type: City | Size: Vast | Danger: 25
Titanic Windswept Metropolis | Biome: Plains | Type: City | Size: Colossal | Danger: 30
Hidden Windswept Hamlet | Biome: Plains | Type: Village | Size: Tiny | Danger: 5
Quiet Windswept Hamlet | Biome: Plains | Type: Village | Size: Small | Danger: 10
Windswept Hamlet | Biome: Plains | Type: Village | Size: Medium | Danger: 15
Grand Windswept Hamlet | Biome: Plains | Type: Village | Size: Large | Danger: 20
Endless Windswept Hamlet | Biome: Plains | Type: Village | Size: Vast | Danger: 25
Titanic Windswept Hamlet | Biome: Plains | Type: Village | Size: Colossal | Danger: 30
Hidden Windswept Remnants | Biome: Plains | Type: Ruins | Size: Tiny | Danger: 5
Quiet Windswept Remnants | Biome: Plains | Type: Ruins | Size: Small | Danger: 10
Windswept Remnants | Biome: Plains | Type: Ruins | Size: Medium | Danger: 15
Grand Windswept Remnants | Biome: Plains | Type: Ruins | Size: Large | Danger: 20
Endless Windswept Remnants | Biome: Plains | Type: Ruins | Size: Vast | Danger: 25
Titanic Windswept Remnants | Biome: Plains | Type: Ruins | Size: Colossal | Danger: 30
Hidden Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Tiny | Danger: 5
Quiet Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Small | Danger: 10
Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Medium | Danger: 15
Grand Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Large | Danger: 20
Endless Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Vast | Danger: 25
Titanic Windswept Labyrinth | Biome: Plains | Type: Dungeon | Size: Colossal | Danger: 30
Hidden Windswept Bastion | Biome: Plains | Type: Fortress | Size: Tiny | Danger: 5
Quiet Windswept Bastion | Biome: Plains | Type: Fortress | Size: Small | Danger: 10
Windswept Bastion | Biome: Plains | Type: Fortress | Size: Medium | Danger: 15
Grand Windswept Bastion | Biome: Plains | Type: Fortress | Size: Large | Danger: 20
Endless Windswept Bastion | Biome: Plains | Type: Fortress | Size: Vast | Danger: 25
Titanic Windswept Bastion | Biome: Plains | Type: Fortress | Size: Colossal | Danger: 30
Hidden Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Tiny | Danger: 5
